Categorie;Ordre;Famille;Nom_EN;Nom_LT;Nom_FR;Url_EN;Url_FR
Rails, gallinules, and coots;Gruiformes;Rallidae;Little crake;Zapornia parva;marouette poussin;https://en.wikipedia.org/wiki/Little_crake;https://fr.wikipedia.org/wiki/Marouette_poussin
Rails, gallinules, and coots;Gruiformes;Rallidae;Baillon's crake;Zapornia pusilla;marouette de Baillon;https://en.wikipedia.org/wiki/Baillon%27s_crake;https://fr.wikipedia.org/wiki/Marouette_de_Baillon
Cranes;Gruiformes;Gruidae;Demoiselle crane;Grus virgo;grue demoiselle;https://en.wikipedia.org/wiki/Demoiselle_crane;https://fr.wikipedia.org/wiki/Grue_demoiselle
Cranes;Gruiformes;Gruidae;Sandhill crane;Antigone canadensis;grue du Canada;https://en.wikipedia.org/wiki/Sandhill_crane;https://fr.wikipedia.org/wiki/Grue_du_Canada
Cranes;Gruiformes;Gruidae;Common crane;Grus grus;grue cendrée;https://en.wikipedia.org/wiki/Common_crane;https://fr.wikipedia.org/wiki/Grue_cendr%C3%A9e
Thick-knees;Charadriiformes;Burhinidae;Eurasian thick-knee;Burhinus oedicnemus;œdicnème criard;https://en.wikipedia.org/wiki/Eurasian_thick-knee;https://fr.wikipedia.org/wiki/%C5%92dicn%C3%A8me_criard
Stilts and avocets;Charadriiformes;Recurvirostridae;Black-winged stilt;Himantopus himantopus;échasse blanche;https://en.wikipedia.org/wiki/Black-winged_stilt;https://fr.wikipedia.org/wiki/%C3%89chasse_blanche
Stilts and avocets;Charadriiformes;Recurvirostridae;Pied avocet;Recurvirostra avosetta;avocette élégante;https://en.wikipedia.org/wiki/Pied_avocet;https://fr.wikipedia.org/wiki/Avocette_%C3%A9l%C3%A9gante
Oystercatchers;Charadriiformes;Haematopodidae;Eurasian oystercatcher;Haematopus ostralegus;huîtrier pie;https://en.wikipedia.org/wiki/Eurasian_oystercatcher;https://fr.wikipedia.org/wiki/Hu%C3%AEtrier_pie
Plovers and lapwings;Charadriiformes;Charadriidae;Black-bellied plover;Pluvialis squatarola;pluvier argenté;https://en.wikipedia.org/wiki/Black-bellied_plover;https://fr.wikipedia.org/wiki/Pluvier_argent%C3%A9
Plovers and lapwings;Charadriiformes;Charadriidae;European golden-plover;Pluvialis apricaria;pluvier doré;https://en.wikipedia.org/wiki/European_golden-plover;https://fr.wikipedia.org/wiki/Pluvier_dor%C3%A9
Plovers and lapwings;Charadriiformes;Charadriidae;American golden-plover;Pluvialis dominica;pluvier bronzé;https://en.wikipedia.org/wiki/American_golden-plover;https://fr.wikipedia.org/wiki/Pluvier_bronz%C3%A9
Plovers and lapwings;Charadriiformes;Charadriidae;Pacific golden-plover;Pluvialis fulva;pluvier fauve;https://en.wikipedia.org/wiki/Pacific_golden-plover;https://fr.wikipedia.org/wiki/Pluvier_fauve
Plovers and lapwings;Charadriiformes;Charadriidae;Northern lapwing;Vanellus vanellus;vanneau huppé;https://en.wikipedia.org/wiki/Northern_lapwing;https://fr.wikipedia.org/wiki/Vanneau_hupp%C3%A9
Plovers and lapwings;Charadriiformes;Charadriidae;Spur-winged lapwing;Vanellus spinosus;vanneau éperonné;https://en.wikipedia.org/wiki/Spur-winged_lapwing;https://fr.wikipedia.org/wiki/Vanneau_%C3%A9peronn%C3%A9
Plovers and lapwings;Charadriiformes;Charadriidae;Sociable lapwing;Vanellus gregarius;vanneau sociable;https://en.wikipedia.org/wiki/Sociable_lapwing;https://fr.wikipedia.org/wiki/Vanneau_sociable
Plovers and lapwings;Charadriiformes;Charadriidae;White-tailed lapwing;Vanellus leucurus;vanneau à queue blanche;https://en.wikipedia.org/wiki/White-tailed_lapwing;https://fr.wikipedia.org/wiki/Vanneau_%C3%A0_queue_blanche
Plovers and lapwings;Charadriiformes;Charadriidae;Lesser sand-plover;Charadrius mongolus;pluvier de Mongolie;https://en.wikipedia.org/wiki/Lesser_sand-plover;https://fr.wikipedia.org/wiki/Pluvier_de_Mongolie
